Unnamed: 0,What was the purpose of your journey?,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,"sérieux, fiabilité, services et sourire",RAK,LUX,LIGHT,Couple
en,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,,LCY,LUX,FLEX,Single
en,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,No,Very satisfied,,,,,No,,,Very satisfied,,Very satisfied,,,,10,,,Very satisfied with the service on flight ,BUD,LUX,SMART,Couple
fr,Leisure / Holiday,,,Very unsatisfied,,Check-In counter at the airport,Yes,,Very unsatisfied,,Very unsatisfied,,No,,,Very unsatisfied,,Satisfied,,Very satisfied,,10,,,,LUX,CPH,LIGHT,Mini Group
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Satisfied,Satisfied,,Neutral,,No,,,Satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,BER,SMART,Single
fr,,"Visiting family, friends or relatives",,Very satisfied,,Mobile App,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,Personnel navigant à l’écoute et très sympathique. Cabine propre et très bonnes collations .,NCE,LUX,SMART,Single
en,Leisure / Holiday,,,Very unsatisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,"Overall great service, nice crew, rarely delayed",FCO,LUX,LIGHT,Single
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,MAD,FLEX,Couple
fr,Leisure / Holiday,,,Very satisfied,,Mobile App,No,Very satisfied,,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,,,10,,,Nada😀,LUX,OPO,LIGHT,Single
en,,"Visiting family, friends or relatives",,Very satisfied,,Check-In counter at the airport,Yes,,Very satisfied,,Satisfied,,Yes,,,Very satisfied,,Very satisfied,,Satisfied,,10,,,The security and the confidence provided by the airline.,LUX,LPA,SMART,Single
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Neutral,,No,,,Satisfied,,Very satisfied,,,,10,,,"colation, ponctualité (ou rattrapage de temps), atterissage souple",FCO,LUX,LIGHT,Single
de,,,Business / Professional reason,Satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Satisfied,,No,,,Satisfied,,Very satisfied,,Very satisfied,,10,,,"Sehr angenehmer Flug, freundliches Personal, angenehm ein Snack während des Fluges.",LUX,,,
